ID,Name,Latitude,Longitude
135,n/a,34.6796034,135.6022615
136,n/a,34.8854847,135.4161967
137,大町西駐車場,34.5779222,135.4703326
138,Times堺駅南口第二,34.5810904,135.4676303
139,タイムズ,34.5792950,135.4697410
140,タイムズ,34.5791626,135.4705673
141,タイムズ,34.6876940,135.5458980
142,三井のリパーク,34.6877310,135.5494490
143,CARBOY,34.6809730,135.5477230
144,タイムリー24 天王田,34.6902700,135.5518880
145,パークレント 中浜パーキング,34.6850770,135.5448410
146,中浜パーキング,34.6867550,135.5430610
147,タイムズ天六第二,34.7097600,135.5118210
148,マリンパーク本庄西,34.7116130,135.5066730
149,三井のリパーク,34.7099544,135.5130965
150,フレンドパーク本庄東,34.7141190,135.5076460
151,三井のリパーク,34.7100590,135.5070890
152,アローパーキング,34.7087520,135.5095890
153,TIMES,34.7101059,135.5049937
154,タイムズ難波第11,34.6617670,135.4999990
155,タイムズ豊崎第一,34.7115550,135.5012380
156,三井のリパーク,34.6938474,135.5482771
157,ZEUS,34.7081000,135.5110180
158,ワンパーク,34.7083140,135.5117140
159,エコロパーク,34.6673520,135.5043890
160,n/a,34.6950130,135.5464530
161,TOMOパーキング,34.6980340,135.5460720
162,n/a,34.6980170,135.4966210
163,出入橋バイク駐車場,34.6970220,135.4918800
164,身体障害者専用駐車場（学生用）,34.5904568,135.5033243
165,n/a,34.5908283,135.5031801
166,n/a,34.7032238,135.5180984
167,n/a,34.8642095,135.5318321
168,ジャストインパーク,34.6844410,135.5448430
169,タイムズ,34.6514290,135.5814090
170,パラカ,34.6511750,135.5781720
171,三井のリパーク,34.6513480,135.5781320
172,鴫野東3丁目パーキング,34.6900440,135.5487930
173,PEN,34.6969340,135.5168140
174,ナビパーク,34.6989950,135.5180040
175,三井のリパーク,34.7014670,135.5174560
176,タイムズ,34.7023250,135.5172210
177,エコパーク,34.7116170,135.5007560
178,APパーク,34.7104740,135.4978540
179,セレパーク,34.7124110,135.4978010
180,京都アクアリーナ駐車場入口,34.9890467,135.7157288
181,n/a,34.6898302,135.8261877
182,n/a,34.6875382,135.8310290
183,n/a,34.6873173,135.8302925
184,n/a,34.7020053,135.4850976
185,n/a,34.7549140,135.4988441
186,ふくろう,34.6856920,135.5118490
187,府立 伏見港公園入り口,34.9255777,135.7592749
188,n/a,34.6943027,135.5085563
189,n/a,34.6943817,135.5108612
190,FK池田町パーキング,34.7076330,135.5132540
191,タイムズ,35.0029100,135.7317220
192,タイムパーク西大路松原,34.9984960,135.7316430
193,n/a,34.6926672,135.5155532
194,n/a,34.9829970,135.7592830
195,n/a,34.9821600,135.7569030
196,n/a,34.9821120,135.7574320
197,n/a,34.9817770,135.7562010
198,n/a,34.9816950,135.7565120
199,n/a,34.9812240,135.7561340
200,n/a,34.9814419,135.7551770
201,宗右衛門町モータープール,34.6697530,135.5024670
202,三井のリパーク,34.5673280,135.4790230
203,Parkin' Park,34.5667580,135.4788690
204,n/a,34.5647310,135.4769700
205,n/a,34.5616380,135.4804370
206,ASAHI PARK,34.6781150,135.8320340
207,三井のリパーク,34.6760610,135.5032280
208,タイムズ,34.6768130,135.5055320
209,タイムズ,34.6776630,135.5043180
210,タイムズ,34.6776030,135.5050960
211,セレパーク,34.6773640,135.5053150
212,ナビパーク,34.6857850,135.5063670
213,タイムズ,34.6774380,135.5026000
214,n/a,34.7142978,135.3779223
215,タイムズ,34.6905150,135.5181960
216,タイムズ,34.6890148,135.5102324
217,n/a,34.8307035,135.5111264
218,タイムズ,34.6610630,135.5000930
219,n/a,34.6695350,135.5033460
220,n/a,34.6840310,135.8227920
221,道の駅大和路へぐり,34.6233561,135.7063933
222,くわの実保育園駐車場入り口,35.0042722,135.5890916
223,n/a,34.9644520,135.7698280
224,片町カーポート,34.6917250,135.5223070
225,n/a,34.7197380,135.7223157
226,タイムズ,34.6882220,135.5552680
227,n/a,34.5581723,135.5787886
228,n/a,34.9932790,135.7460540
229,さらら仁川第一駐車場,34.7760192,135.3570768
230,n/a,35.0263750,135.7529940
231,タイムズ,34.9829548,135.7608375
232,n/a,34.6854680,135.4979880
233,n/a,34.6851430,135.4979910
234,タイムズ,34.7502668,135.4321605
235,タイムズ,34.7128680,135.5462750
236,三井のリパーク,34.9679231,135.7263539
237,n/a,34.6901180,135.6967214
238,n/a,34.6915060,135.6970520
239,n/a,34.6920970,135.6981720
240,n/a,34.6915400,135.6984390
241,三井のリパーク,34.6919040,135.6983270
242,タイムズ,34.9803298,135.6913849
243,タイムズ,34.7115150,135.5053660
244,タイムズ大阪空港東,34.7906360,135.4468398
245,n/a,34.6386070,135.6594312
246,n/a,34.5903813,135.5031646
247,n/a,34.6713530,135.6264816
248,オリーブハイツ 枚方長尾団地 南公園横駐車場,34.8189710,135.7143910
249,n/a,34.6489480,135.6230517
250,タイムズ24,34.9959784,135.7510028
251,n/a,34.8302990,135.4103470
252,リパーク,34.8282788,135.4113977
253,リパーク,34.8283095,135.4112343
254,n/a,34.8300307,135.4129108
255,n/a,34.6875410,135.7156050
256,魚屋町２パーキング,34.9316240,135.7633240
257,トーワパーキング 中書島第２,34.9293020,135.7600350
258,風良都パーク２４,34.9274030,135.7597720
259,三井のリパーク 伏見区伯耆町,34.9336740,135.7600510
260,ブーブーパーク 伏見大手筋第４,34.9326580,135.7595490
261,三井のリパーク ハローワーク伏見前,34.9343316,135.7600283
262,n/a,34.8218370,135.7724330
263,n/a,34.8220880,135.7709980
264,中油掛町パーキング,34.9314750,135.7601460
265,風良都ぱーく１０,34.9301081,135.7603764
266,三井のリパーク 東山安井,35.0008000,135.7773700
267,キョウテク 三条古川町パーキング,35.0097020,135.7791010
268,Times 田辺平田,34.8224730,135.7720670
269,キョウテク 文京学園南パーキング,35.0101490,135.7790580
270,n/a,34.6845940,135.8130160
271,三井のリパーク 寺町松原北,34.9992070,135.7666950
272,ピットイン寺町,35.0008700,135.7666950
273,寺町松原２パーキング,34.9990420,135.7667120
274,寺町イハヤパーキング,35.0000030,135.7669710
275,三井のリパーク 寺町松原,34.9990320,135.7670120
276,n/a,34.6789431,135.8185940
277,n/a,34.6792452,135.8184360
278,n/a,34.6789496,135.8195062
279,n/a,34.6789364,135.8192835
280,n/a,34.6788791,135.8190794
281,TOYOCARMAX,34.9330910,135.7594140
282,くるっとパーク,34.9350000,135.7558300
283,きりん２４,34.9351990,135.7591160
284,ブーブーパーク 伏見大手筋第３駐車場,34.9323500,135.7639650
285,魚屋町パーキング,34.9318340,135.7638320
286,上油掛町パーキング,34.9313770,135.7611080
287,三井のリパーク 西天満2丁目 第3,34.6961860,135.5015080
288,タイムズ 奈良油留木町,34.6869288,135.8327134
289,三井のリパーク 奈良県庁前,34.6865315,135.8325363
290,中書島駅前パーキング,34.9271710,135.7595120
291,西柳町パーキング,34.9285400,135.7594450
292,NEPROパーキング,35.0173010,135.7677400
293,三井のリパーク 河原町丸太町南,35.0165720,135.7684120
294,竹屋町通車屋町パーキング,35.0161910,135.7602070
295,D-Parking 堀之内町,35.0162850,135.7621390
296,タイムズ柳馬場竹屋町,35.0162650,135.7634610
297,NEPRO パーキング２,35.0165775,135.7679496
298,OnePark松本町,35.0161370,135.7662560
299,タイムズ,35.0164250,135.7671560
300,n/a,34.7396530,135.4965980
301,月極,34.6745950,135.8307910
302,藤阪駅 東口 駐車場,34.8145640,135.7031000
303,TOMO,34.6480510,135.5228000
304,Times 大道,34.6482160,135.5222150
305,宮前駐車場,34.7821946,135.4165953
306,ことぶき 整骨院 専用 駐車場,34.8206530,135.7142540
307,AP パーク,34.6979380,135.7517570
308,n/a,34.6869114,135.8295213
309,n/a,34.8214463,135.7004505
310,三井のリパーク,34.6856620,135.8076370
311,n/a,34.6855760,135.8080820
312,n/a,34.9956966,135.7638230
313,n/a,34.9957554,135.7635073
314,n/a,34.7317202,135.7348431
315,n/a,34.8243704,135.6732820
316,n/a,34.8243975,135.6715983
317,n/a,34.8244240,135.6728838
318,n/a,34.8247449,135.6729004
319,n/a,34.8249172,135.6729477
320,n/a,34.8249582,135.6732431
321,n/a,34.8255140,135.6726925
322,n/a,34.8257049,135.6726755
323,n/a,34.8258372,135.6724743
324,n/a,34.8202230,135.7700980
325,GSPark 学園北２丁目,34.6979938,135.7525353
326,ベルパーク,34.7649170,135.6196089
327,n/a,34.7454710,135.4973020
328,システムパーク京都駅前 西NO2,34.9861918,135.7539011
329,かーボーイ,34.7453970,135.5316350
330,三井のリパーク,34.7135490,135.5104290
331,ワンパーク長柄中,34.7159600,135.5151180
332,タイムズ,34.7120506,135.5119833
333,GSパーキング 城南宮東口,34.9499537,135.7523712
334,エコロパーク御駕籠町第一,34.9372275,135.7609644
335,タイムズ,34.7028860,135.4906840
336,タイムズ伏見桃山駅北,34.9342175,135.7641697
337,Times,34.7466390,135.6090830
338,Times 若江 岩田,34.6643010,135.6086720
339,Times,34.6635620,135.6073420
340,南都 銀行 専用 駐車場,34.8198270,135.7704360
341,リパーク奈良三条町,34.6816940,135.8225990
342,タイムズ,34.6804560,135.8223830
343,Times 若江 岩田 第3,34.6639840,135.6073670
344,キーパーズ 岩田町 5丁目,34.6655130,135.6096200
345,Times 若江 岩田 第5,34.6649190,135.6095500
346,JR 京田辺 西 駐車場,34.8202480,135.7686560
347,モーター プール 11,34.6913560,135.7081780
348,n/a,34.9877210,135.7323280
349,タイムズ,34.9922880,135.7325520
350,n/a,34.9847340,135.7323380
351,西大路七条パーキング,34.9867800,135.7323590
352,エコロパーク,34.9886880,135.7326780
353,三井のリパーク,34.9904080,135.7327650
354,n/a,34.9882770,135.7326380
355,n/a,34.9877460,135.7327510
356,GS Park,34.6755300,135.5323910
357,駐車場,34.6776331,135.5336786
358,銀座モータープール 駐車場,34.5755182,135.4834625
359,BooBoo Park,34.6643870,135.5058010
